PLAYER,TEAM,GM,MIN,5i,PTS,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,DREB,OREB,TREB,AS,ST,TO,BL,BA,DU,FR,FA,+/-,VAL
Pol Figueras,GIR,23.0,349.13,1.0,75.0,10.0,27.0,37.0,16.0,43.0,37.2,13.0,25.0,52.0,18.0,1.0,19.0,44.0,14.0,22.0,0.0,1.0,0.0,24.0,26.0,-60.0,75.0
Pato Garino,GIR,17.0,244.07,10.0,69.0,8.0,27.0,29.6,18.0,46.0,39.1,9.0,14.0,64.3,22.0,9.0,31.0,11.0,10.0,15.0,3.0,3.0,1.0,26.0,14.0,-36.0,42.0
Pierre Oriola,GIR,7.0,97.58,0.0,19.0,2.0,9.0,22.2,4.0,8.0,50.0,5.0,6.0,83.3,12.0,10.0,22.0,5.0,3.0,1.0,1.0,2.0,0.0,9.0,8.0,-38.0,34.0
Jeremiah Hill,GIR,9.0,147.06,0.0,50.0,10.0,36.0,27.8,6.0,16.0,37.5,8.0,10.0,80.0,16.0,3.0,19.0,15.0,6.0,9.0,0.0,2.0,1.0,18.0,10.0,-28.0,33.0
Ondrej Hanzlik,GIR,19.0,159.19,6.0,46.0,12.0,41.0,29.3,5.0,7.0,71.4,0.0,1.0,0.0,11.0,2.0,13.0,6.0,5.0,4.0,0.0,1.0,0.0,11.0,2.0,-11.0,24.0
Josep Franch,GIR,13.0,129.34,7.0,29.0,6.0,22.0,27.3,3.0,11.0,27.3,5.0,6.0,83.3,6.0,2.0,8.0,18.0,7.0,15.0,0.0,0.0,0.0,14.0,12.0,-28.0,20.0
Aleksandar   Bursac,GIR,4.0,36.23,1.0,5.0,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,2.0,-44.0,2.0
Jerrick Harding,BAX,20.0,507.39,15.0,333.0,40.0,104.0,38.5,76.0,153.0,49.7,61.0,72.0,84.7,36.0,8.0,44.0,38.0,13.0,48.0,2.0,7.0,0.0,47.0,76.0,-172.0,252.0
Juampi Vaulet,BAX,22.0,465.37,13.0,191.0,8.0,31.0,25.8,70.0,118.0,59.3,27.0,38.0,71.1,79.0,41.0,120.0,19.0,19.0,26.0,4.0,11.0,6.0,48.0,41.0,-86.0,227.0
Adam Waczynski,BAX,15.0,306.04,6.0,155.0,27.0,51.0,52.9,24.0,46.0,52.2,26.0,29.0,89.7,22.0,4.0,26.0,11.0,12.0,9.0,1.0,2.0,0.0,21.0,33.0,-51.0,157.0
Dani Pérez,BAX,22.0,501.34,15.0,147.0,28.0,89.0,31.5,24.0,86.0,27.9,15.0,24.0,62.5,22.0,7.0,29.0,141.0,21.0,52.0,0.0,3.0,0.0,53.0,54.0,-90.0,152.0
Frankie Ferrari,BAX,15.0,282.32,7.0,120.0,18.0,52.0,34.6,26.0,62.0,41.9,14.0,22.0,63.6,27.0,3.0,30.0,69.0,21.0,41.0,0.0,5.0,0.0,32.0,31.0,-10.0,115.0
Devin Robinson,BAX,10.0,225.53,7.0,121.0,1.0,9.0,11.1,47.0,86.0,54.7,24.0,34.0,70.6,38.0,8.0,46.0,9.0,9.0,13.0,9.0,6.0,12.0,27.0,23.0,-44.0,114.0
Guillem Jou,BAX,14.0,266.51,8.0,67.0,10.0,33.0,30.3,14.0,17.0,82.4,9.0,15.0,60.0,35.0,16.0,51.0,14.0,16.0,3.0,1.0,0.0,0.0,26.0,19.0,22.0,107.0
Martinas  Geben,BAX,11.0,198.13,9.0,112.0,3.0,10.0,30.0,43.0,76.0,56.6,17.0,22.0,77.3,29.0,17.0,46.0,6.0,5.0,13.0,8.0,3.0,9.0,33.0,22.0,-11.0,105.0
Marcis Steinbergs,BAX,21.0,329.18,3.0,108.0,10.0,37.0,27.0,32.0,46.0,69.6,14.0,24.0,58.3,31.0,19.0,50.0,11.0,7.0,14.0,5.0,3.0,1.0,53.0,30.0,-81.0,90.0
Brancou Badio,BAX,21.0,295.25,2.0,111.0,16.0,43.0,37.2,21.0,53.0,39.6,21.0,26.0,80.8,18.0,9.0,27.0,25.0,14.0,17.0,1.0,2.0,1.0,33.0,25.0,-48.0,87.0
Musa Sagnia,BAX,16.0,200.23,6.0,60.0,4.0,9.0,44.4,22.0,27.0,81.5,4.0,7.0,57.1,23.0,16.0,39.0,5.0,7.0,7.0,5.0,2.0,7.0,30.0,11.0,-82.0,75.0
Tyson Pérez,BAX,10.0,175.04,3.0,59.0,3.0,19.0,15.8,18.0,31.0,58.1,14.0,20.0,70.0,32.0,11.0,43.0,6.0,9.0,17.0,0.0,2.0,7.0,17.0,17.0,-80.0,63.0
Marcus Lee,BAX,7.0,135.23,4.0,52.0,0.0,0.0,0.0,25.0,31.0,80.6,2.0,7.0,28.6,17.0,17.0,34.0,5.0,3.0,16.0,5.0,0.0,11.0,22.0,10.0,-32.0,60.0
Giordano  Bortolani,BAX,7.0,117.37,3.0,71.0,12.0,37.0,32.4,10.0,20.0,50.0,15.0,16.0,93.8,10.0,2.0,12.0,2.0,5.0,7.0,0.0,0.0,0.0,12.0,11.0,-32.0,46.0
Matthias  Tass,BAX,7.0,97.01,1.0,25.0,2.0,7.0,28.6,8.0,18.0,44.4,3.0,3.0,100.0,11.0,3.0,14.0,2.0,1.0,3.0,1.0,2.0,0.0,8.0,7.0,-25.0,22.0
Jordan Caroline,BAX,2.0,35.27,1.0,16.0,2.0,4.0,50.0,4.0,9.0,44.4,2.0,5.0,40.0,7.0,6.0,13.0,2.0,0.0,2.0,1.0,1.0,0.0,6.0,6.0,-22.0,19.0
Justin Hamilton,BAX,3.0,46.15,3.0,14.0,1.0,6.0,16.7,4.0,9.0,44.4,3.0,4.0,75.0,7.0,5.0,12.0,3.0,1.0,4.0,6.0,0.0,0.0,8.0,4.0,-12.0,17.0
Babatunde Olumuyiwa,BAX,7.0,87.15,2.0,16.0,0.0,0.0,0.0,5.0,10.0,50.0,6.0,8.0,75.0,8.0,3.0,11.0,4.0,4.0,8.0,3.0,3.0,0.0,14.0,6.0,-38.0,12.0
Dani García,BAX,11.0,95.54,0.0,20.0,4.0,22.0,18.2,4.0,12.0,33.3,0.0,2.0,0.0,4.0,1.0,5.0,21.0,3.0,11.0,0.0,1.0,0.0,12.0,10.0,-50.0,7.0
Ladji  Coulibaly,BAX,2.0,8.31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,10.0,-3.0
Aleksandar   Bursac,BAX,1.0,11.39,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,-7.0,-2.0
Elias Valtonen,BAX,5.0,60.25,2.0,5.0,0.0,5.0,0.0,1.0,5.0,20.0,3.0,4.0,75.0,5.0,1.0,6.0,1.0,1.0,3.0,0.0,1.0,0.0,5.0,4.0,-44.0,-2.0
Jovan Novak,FUE,23.0,640.09,15.0,197.0,30.0,71.0,42.3,37.0,81.0,45.7,33.0,43.0,76.7,49.0,28.0,77.0,176.0,19.0,69.0,0.0,9.0,0.0,40.0,65.0,-159.0,321.0
Lasan Kromah,FUE,23.0,539.38,20.0,254.0,10.0,41.0,24.4,79.0,166.0,47.6,66.0,85.0,77.6,57.0,16.0,73.0,27.0,29.0,35.0,4.0,7.0,0.0,54.0,65.0,-178.0,219.0
Dusan Ristic,FUE,12.0,287.34,10.0,188.0,14.0,38.0,36.8,64.0,92.0,69.6,18.0,22.0,81.8,55.0,19.0,74.0,12.0,5.0,18.0,9.0,4.0,4.0,28.0,24.0,-101.0,206.0
Jeremy Senglin,FUE,15.0,408.27,13.0,154.0,23.0,51.0,45.1,38.0,78.0,48.7,9.0,17.0,52.9,23.0,7.0,30.0,26.0,11.0,10.0,1.0,6.0,0.0,24.0,20.0,-119.0,126.0
Viny Okouo,FUE,22.0,297.25,7.0,115.0,0.0,1.0,0.0,43.0,93.0,46.2,29.0,44.0,65.9,61.0,28.0,89.0,7.0,6.0,27.0,5.0,5.0,3.0,43.0,36.0,-148.0,117.0
Marc Garcia,FUE,18.0,292.32,2.0,123.0,15.0,49.0,30.6,20.0,52.0,38.5,38.0,46.0,82.6,24.0,3.0,27.0,13.0,9.0,13.0,0.0,7.0,0.0,14.0,51.0,-126.0,115.0
Christian Eyenga,FUE,23.0,434.38,3.0,125.0,6.0,28.0,21.4,44.0,77.0,57.1,19.0,34.0,55.9,36.0,11.0,47.0,18.0,14.0,19.0,9.0,8.0,15.0,41.0,31.0,-114.0,106.0
Juan Fernández,FUE,20.0,331.54,15.0,127.0,5.0,25.0,20.0,38.0,63.0,60.3,36.0,53.0,67.9,38.0,21.0,59.0,9.0,11.0,24.0,4.0,3.0,13.0,64.0,45.0,-111.0,102.0
