PLAYER,TEAM,GM,MIN,5i,PTS,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,DREB,OREB,TREB,AS,ST,TO,BL,BA,DU,FR,FA,+/-,VAL
Eric Vila,GIR,23.0,16.46,0.3,4.4,0.2,0.9,25.0,1.3,3.0,44.3,1.1,1.5,73.5,2.1,1.2,3.3,0.4,0.7,0.8,0.1,0.4,0.3,1.5,1.2,0.0,4.7
Jeremiah Hill,GIR,9.0,16.2,0.0,5.6,1.1,4.0,27.8,0.7,1.8,37.5,0.9,1.1,80.0,1.8,0.3,2.1,1.7,0.7,1.0,0.0,0.2,0.1,2.0,1.1,-3.0,3.7
Pol Figueras,GIR,23.0,15.11,0.0,3.3,0.4,1.2,37.0,0.7,1.9,37.2,0.6,1.1,52.0,0.8,0.0,0.8,1.9,0.6,1.0,0.0,0.0,0.0,1.0,1.1,-2.0,3.3
Pato Garino,GIR,17.0,14.21,0.6,4.1,0.5,1.6,29.6,1.1,2.7,39.1,0.5,0.8,64.3,1.3,0.5,1.8,0.6,0.6,0.9,0.2,0.2,0.1,1.5,0.8,-2.0,2.5
Josep Franch,GIR,13.0,9.58,0.5,2.2,0.5,1.7,27.3,0.2,0.8,27.3,0.4,0.5,83.3,0.5,0.2,0.6,1.4,0.5,1.2,0.0,0.0,0.0,1.1,0.9,-2.0,1.5
Ondrej Hanzlik,GIR,19.0,8.23,0.3,2.4,0.6,2.2,29.3,0.3,0.4,71.4,0.0,0.1,0.0,0.6,0.1,0.7,0.3,0.3,0.2,0.0,0.1,0.0,0.6,0.1,0.0,1.3
Aleksandar   Bursac,GIR,4.0,9.05,0.3,1.3,0.3,0.8,33.3,0.3,0.5,50.0,0.0,0.0,0.0,0.5,0.3,0.8,0.0,0.3,0.5,0.0,0.0,0.0,1.0,0.5,-11.0,0.5
Jerrick Harding,BAX,20.0,25.22,0.8,16.7,2.0,5.2,38.5,3.8,7.7,49.7,3.1,3.6,84.7,1.8,0.4,2.2,1.9,0.7,2.4,0.1,0.4,0.0,2.4,3.8,-8.0,12.6
Devin Robinson,BAX,10.0,22.35,0.7,12.1,0.1,0.9,11.1,4.7,8.6,54.7,2.4,3.4,70.6,3.8,0.8,4.6,0.9,0.9,1.3,0.9,0.6,1.2,2.7,2.3,-4.0,11.4
Adam Waczynski,BAX,15.0,20.24,0.4,10.3,1.8,3.4,52.9,1.6,3.1,52.2,1.7,1.9,89.7,1.5,0.3,1.7,0.7,0.8,0.6,0.1,0.1,0.0,1.4,2.2,-3.0,10.5
Juampi Vaulet,BAX,22.0,21.09,0.6,8.7,0.4,1.4,25.8,3.2,5.4,59.3,1.2,1.7,71.1,3.6,1.9,5.5,0.9,0.9,1.2,0.2,0.5,0.3,2.2,1.9,-3.0,10.3
Martinas  Geben,BAX,11.0,18.01,0.8,10.2,0.3,0.9,30.0,3.9,6.9,56.6,1.5,2.0,77.3,2.6,1.5,4.2,0.5,0.5,1.2,0.7,0.3,0.8,3.0,2.0,-1.0,9.5
Jordan Caroline,BAX,2.0,17.43,0.5,8.0,1.0,2.0,50.0,2.0,4.5,44.4,1.0,2.5,40.0,3.5,3.0,6.5,1.0,0.0,1.0,0.5,0.5,0.0,3.0,3.0,-11.0,9.5
Marcus Lee,BAX,7.0,19.2,0.6,7.4,0.0,0.0,0.0,3.6,4.4,80.6,0.3,1.0,28.6,2.4,2.4,4.9,0.7,0.4,2.3,0.7,0.0,1.6,3.1,1.4,-4.0,8.6
Frankie Ferrari,BAX,15.0,18.5,0.5,8.0,1.2,3.5,34.6,1.7,4.1,41.9,0.9,1.5,63.6,1.8,0.2,2.0,4.6,1.4,2.7,0.0,0.3,0.0,2.1,2.1,0.0,7.7
Guillem Jou,BAX,14.0,19.03,0.6,4.8,0.7,2.4,30.3,1.0,1.2,82.4,0.6,1.1,60.0,2.5,1.1,3.6,1.0,1.1,0.2,0.1,0.0,0.0,1.9,1.4,1.0,7.6
Dani Pérez,BAX,22.0,22.47,0.7,6.7,1.3,4.0,31.5,1.1,3.9,27.9,0.7,1.1,62.5,1.0,0.3,1.3,6.4,1.0,2.4,0.0,0.1,0.0,2.4,2.5,-4.0,6.9
Giordano  Bortolani,BAX,7.0,16.48,0.4,10.1,1.7,5.3,32.4,1.4,2.9,50.0,2.1,2.3,93.8,1.4,0.3,1.7,0.3,0.7,1.0,0.0,0.0,0.0,1.7,1.6,-4.0,6.6
Tyson Pérez,BAX,10.0,17.3,0.3,5.9,0.3,1.9,15.8,1.8,3.1,58.1,1.4,2.0,70.0,3.2,1.1,4.3,0.6,0.9,1.7,0.0,0.2,0.7,1.7,1.7,-8.0,6.3
Justin Hamilton,BAX,3.0,15.25,1.0,4.7,0.3,2.0,16.7,1.3,3.0,44.4,1.0,1.3,75.0,2.3,1.7,4.0,1.0,0.3,1.3,2.0,0.0,0.0,2.7,1.3,-4.0,5.7
Marcis Steinbergs,BAX,21.0,15.4,0.1,5.1,0.5,1.8,27.0,1.5,2.2,69.6,0.7,1.1,58.3,1.5,0.9,2.4,0.5,0.3,0.7,0.2,0.1,0.0,2.5,1.4,-3.0,4.3
Brancou Badio,BAX,21.0,14.04,0.1,5.3,0.8,2.0,37.2,1.0,2.5,39.6,1.0,1.2,80.8,0.9,0.4,1.3,1.2,0.7,0.8,0.0,0.1,0.0,1.6,1.2,-2.0,4.1
Musa Sagnia,BAX,16.0,12.31,0.4,3.8,0.3,0.6,44.4,1.4,1.7,81.5,0.3,0.4,57.1,1.4,1.0,2.4,0.3,0.4,0.4,0.3,0.1,0.4,1.9,0.7,-5.0,4.7
Matthias  Tass,BAX,7.0,13.51,0.1,3.6,0.3,1.0,28.6,1.1,2.6,44.4,0.4,0.4,100.0,1.6,0.4,2.0,0.3,0.1,0.4,0.1,0.3,0.0,1.1,1.0,-3.0,3.1
Babatunde Olumuyiwa,BAX,7.0,12.27,0.3,2.3,0.0,0.0,0.0,0.7,1.4,50.0,0.9,1.1,75.0,1.1,0.4,1.6,0.6,0.6,1.1,0.4,0.4,0.0,2.0,0.9,-5.0,1.7
Dani García,BAX,11.0,8.43,0.0,1.8,0.4,2.0,18.2,0.4,1.1,33.3,0.0,0.2,0.0,0.4,0.1,0.5,1.9,0.3,1.0,0.0,0.1,0.0,1.1,0.9,-4.0,0.6
Aleksandar   Bursac,BAX,1.0,11.39,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,-7.0,-2.0
Ladji  Coulibaly,BAX,2.0,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,2.0,0.0,5.0,-1.5
Elias Valtonen,BAX,5.0,12.05,0.4,1.0,0.0,1.0,0.0,0.2,1.0,20.0,0.6,0.8,75.0,1.0,0.2,1.2,0.2,0.2,0.6,0.0,0.2,0.0,1.0,0.8,-8.0,-0.4
Keanu Pinder,FUE,2.0,26.46,1.0,18.5,1.5,1.5,100.0,4.5,10.0,45.0,5.0,6.5,76.9,5.5,2.5,8.0,0.5,1.0,2.0,2.0,0.5,0.5,4.5,6.0,-11.0,22.0
Dusan Ristic,FUE,12.0,23.57,0.8,15.7,1.2,3.2,36.8,5.3,7.7,69.6,1.5,1.8,81.8,4.6,1.6,6.2,1.0,0.4,1.5,0.8,0.3,0.3,2.3,2.0,-8.0,17.2
Jovan Novak,FUE,23.0,27.49,0.7,8.6,1.3,3.1,42.3,1.6,3.5,45.7,1.4,1.9,76.7,2.1,1.2,3.3,7.7,0.8,3.0,0.0,0.4,0.0,1.7,2.8,-6.0,14.0
Prince Ali,FUE,8.0,28.3,1.0,13.3,1.5,4.4,34.3,3.1,5.3,59.5,2.5,3.4,74.1,2.0,1.0,3.0,0.8,1.0,1.9,0.6,0.5,0.6,1.1,2.4,-14.0,11.6
Ken Horton,FUE,3.0,31.26,1.0,11.7,1.7,5.3,31.3,3.0,4.7,64.3,0.7,1.3,50.0,2.3,1.3,3.7,1.3,1.3,1.7,0.3,0.3,0.0,1.7,1.3,-8.0,10.0
Lasan Kromah,FUE,23.0,23.27,0.9,11.0,0.4,1.8,24.4,3.4,7.2,47.6,2.9,3.7,77.6,2.5,0.7,3.2,1.2,1.3,1.5,0.2,0.3,0.0,2.3,2.8,-7.0,9.5
Bassala Bagayoko,FUE,7.0,17.24,0.3,6.1,0.1,1.0,14.3,2.6,3.9,66.7,0.6,0.7,80.0,2.9,1.7,4.6,0.7,1.3,1.0,0.4,0.4,1.3,2.1,1.1,-2.0,8.4
Jeremy Senglin,FUE,15.0,27.13,0.9,10.3,1.5,3.4,45.1,2.5,5.2,48.7,0.6,1.1,52.9,1.5,0.5,2.0,1.7,0.7,0.7,0.1,0.4,0.0,1.6,1.3,-7.0,8.4
Marc Garcia,FUE,18.0,16.15,0.1,6.8,0.8,2.7,30.6,1.1,2.9,38.5,2.1,2.6,82.6,1.3,0.2,1.5,0.7,0.5,0.7,0.0,0.4,0.0,0.8,2.8,-7.0,6.4
Jordan Caroline,FUE,6.0,24.12,0.7,8.7,0.7,3.2,21.1,2.3,5.3,43.8,2.0,3.3,60.0,3.3,2.3,5.7,0.5,0.0,2.3,0.0,0.8,0.2,1.5,2.3,-15.0,5.7
Viny Okouo,FUE,22.0,13.31,0.3,5.2,0.0,0.0,0.0,2.0,4.2,46.2,1.3,2.0,65.9,2.8,1.3,4.0,0.3,0.3,1.2,0.2,0.2,0.1,2.0,1.6,-6.0,5.3
Juan Fernández,FUE,20.0,16.35,0.8,6.4,0.3,1.3,20.0,1.9,3.2,60.3,1.8,2.7,67.9,1.9,1.1,3.0,0.5,0.6,1.2,0.2,0.2,0.7,3.2,2.3,-5.0,5.1
Christian Eyenga,FUE,23.0,18.53,0.1,5.4,0.3,1.2,21.4,1.9,3.3,57.1,0.8,1.5,55.9,1.6,0.5,2.0,0.8,0.6,0.8,0.4,0.3,0.7,1.8,1.3,-4.0,4.6
Clevin Hannah,FUE,17.0,17.12,0.4,6.6,1.2,3.7,31.7,1.2,2.5,46.5,0.8,0.9,81.3,0.6,0.3,0.9,2.4,0.5,1.5,0.1,0.2,0.0,2.1,1.4,-7.0,4.1
Malique Lewis,FUE,8.0,8.37,0.1,2.3,0.0,0.6,0.0,1.1,1.5,75.0,0.0,0.0,0.0,1.1,0.5,1.6,0.4,0.4,0.6,0.1,0.0,0.0,1.1,0.3,-4.0,2.3
Mehdy Ngouama,FUE,4.0,17.08,0.3,6.8,0.5,2.5,20.0,2.3,5.3,42.9,0.8,1.0,75.0,1.5,0.3,1.8,2.3,0.8,1.8,0.0,1.3,0.3,2.3,1.5,-7.0,2.5
Javi Beirán,FUE,4.0,8.57,0.0,1.3,0.3,1.0,25.0,0.3,0.5,50.0,0.0,0.0,0.0,1.0,0.8,1.8,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,1.5
